"","baseMean","log2FoldChange.x","lfcSE.x","stat","pvalue.x","padj.x","log2FoldChange.y","lfcSE.y","pvalue.y","padj.y"
"F13a1",3690.50908233649,1.38185150919481,0.429050998469124,3.22071621817763,0.00127870696012494,0.00533900567416104,1.07326555142876,0.49691229240872,0.00127870696012494,0.00533900567416104
"Peli2",745.018320647174,1.11355629289068,0.158028168709371,7.04656835540894,1.83384059572116e-12,3.47157365262386e-11,1.07331593399694,0.160001468128559,1.83384059572116e-12,3.47157365262386e-11
"Tnfrsf8",16.4669605755422,1.60123029796482,0.586345563849889,2.7308645220257,0.00631684329526084,0.021102661751083,1.07373506063836,0.711225603693225,0.00631684329526084,0.021102661751083
"Socs2",9.71006604163543,1.68378159437254,0.633329581985794,2.65861826490573,0.00784618074999749,0.0253370965407825,1.0746196989144,0.787808964139579,0.00784618074999749,0.0253370965407825
"Socs3",284.921947815283,1.13559120758883,0.188171938528898,6.03485948259197,1.59101071548815e-09,2.08660140962296e-08,1.08073974465315,0.193044478773488,1.59101071548815e-09,2.08660140962296e-08
"Gbp7",211.549559636223,1.11673611935461,0.152136843429115,7.34033975060706,2.1305232641831e-13,4.42718501469571e-12,1.08114667873673,0.153940456900545,2.1305232641831e-13,4.42718501469571e-12
"Pgap1",1064.63837881443,1.13765393924854,0.193974737737206,5.86495928552209,4.49242917864102e-09,5.52247586886616e-08,1.08128275380323,0.197491320077208,4.49242917864102e-09,5.52247586886616e-08
"N4bp3",206.536275377688,1.11533062161118,0.145861191455514,7.64652071247709,2.06490214271573e-14,4.70355477191019e-13,1.0829535622046,0.147337172618163,2.06490214271573e-14,4.70355477191019e-13
"Treml4",230.465914650685,1.24492645626012,0.313059167429948,3.97664909953065,6.98931826266778e-05,0.000408393545226924,1.0930360792123,0.335281377207553,6.98931826266778e-05,0.000408393545226924
"Vamp1",402.197837266836,1.12373168586059,0.140462348017501,8.00023423871987,1.24182745612439e-15,3.18085232690148e-14,1.09312244271748,0.142063060245941,1.24182745612439e-15,3.18085232690148e-14
"Slc13a3",31.7683386519278,1.29092463221907,0.358675045638358,3.5991481646612,0.000319261259637171,0.00158765194950402,1.09457485286068,0.382570718055959,0.000319261259637171,0.00158765194950402
"Adamtsl4",20.5567426016203,1.3763966170289,0.427496340210829,3.21966877272003,0.00128338789946339,0.00535498720949636,1.09754374097096,0.470735448717372,0.00128338789946339,0.00535498720949636
"Zfp658",108.667883954805,1.14508979689447,0.176472103396911,6.4887864702275,8.65305000238496e-11,1.34577980892111e-09,1.09780128084795,0.178894415025094,8.65305000238496e-11,1.34577980892111e-09
"Mfng",230.556281826256,1.14455812722015,0.168809409801114,6.7801796627844,1.20026526745482e-11,2.05518818169515e-10,1.09785634738192,0.17125160452261,1.20026526745482e-11,2.05518818169515e-10
"Rab11fip4",62.1670394400745,1.21298420325854,0.275719879352915,4.39933531853155,1.0858293943479e-05,7.48804655409916e-05,1.0996673292293,0.286520313162682,1.0858293943479e-05,7.48804655409916e-05
"Alpk1",1203.5792470182,1.14365558786152,0.168684995539422,6.77982996771186,1.20317400317534e-11,2.05736197736426e-10,1.10068006058573,0.17105863108381,1.20317400317534e-11,2.05736197736426e-10
"Trim16",431.490113981548,1.12581696432391,0.126716686385732,8.88452023513992,6.41972029959512e-19,2.25066786257593e-17,1.1014010724107,0.127710910696432,6.41972029959512e-19,2.25066786257593e-17
"Tbc1d8",772.030229794628,1.12030730252597,0.106373246765958,10.531852101787,6.16101603899663e-26,3.6998522634185e-24,1.10518605049611,0.106924201977768,6.16101603899663e-26,3.6998522634185e-24
"Mob3b",471.509857379974,1.12774842722329,0.122205914210748,9.22826390610243,2.75053650808707e-20,1.04930041680853e-18,1.10521228278433,0.123043955206551,2.75053650808707e-20,1.04930041680853e-18
"Tesmin",14.457166826614,1.45815242164054,0.48106610335581,3.03108535702014,0.00243676350961735,0.009290345932323,1.11258898271208,0.537115282579658,0.00243676350961735,0.009290345932323
"Pfkfb4",1192.93042097833,1.1337195352365,0.111616766628419,10.1572511862016,3.07627297702022e-24,1.58238943174511e-22,1.11491520863879,0.112260882688356,3.07627297702022e-24,1.58238943174511e-22
"Pygl",2052.38520691711,1.12014223511532,0.0606666969443957,18.4638737813926,4.03348220184167e-76,1.53406773076712e-73,1.11528985754012,0.0607770335187462,4.03348220184167e-76,1.53406773076712e-73
"Plcl1",26.0824521877572,1.29153435811982,0.341919447162507,3.77730593810297,0.000158533944969313,0.000853241656650879,1.11594944302487,0.360125342602128,0.000158533944969313,0.000853241656650879
"H2.Q7",37.3256649460618,1.4535358689333,0.472777820385533,3.07445867013811,0.00210884938506734,0.00820972972455961,1.1166671001795,0.531578014182084,0.00210884938506734,0.00820972972455961
"Tiam1",3602.11106867461,1.13539492075564,0.110653770128314,10.2607883982537,1.05839055927575e-24,5.72580168511636e-23,1.11697177033191,0.111277456089732,1.05839055927575e-24,5.72580168511636e-23
"Tmem156",295.632690729345,1.1512646423951,0.149313458893408,7.71038760288155,1.25436184237282e-14,2.93174962451047e-13,1.11769906677815,0.150871483715447,1.25436184237282e-14,2.93174962451047e-13
"Cebpa",1945.6945925987,1.14381609045605,0.122305713570047,9.35210675829111,8.59189871184393e-21,3.4125607826694e-19,1.12119851367347,0.123543243761068,8.59189871184393e-21,3.4125607826694e-19
"Plac8",27.5347047517564,1.56975243580034,0.545789580733277,2.87611286696121,0.00402605722634037,0.01434725844628,1.12281588002886,0.639842336547296,0.00402605722634037,0.01434725844628
"Gm5150",176.421780761681,1.19976701741083,0.205742669736816,5.83139617535611,5.49655080498906e-09,6.69129089751869e-08,1.13351979821181,0.209872390735067,5.49655080498906e-09,6.69129089751869e-08
"Rin3",1931.5588253669,1.15393304770278,0.0766061143991224,15.0631977193194,2.82772188173242e-51,5.46011343655748e-49,1.14525122142256,0.0768198055024297,2.82772188173242e-51,5.46011343655748e-49
"Acot1",147.146282004772,1.21225594422797,0.211614583936721,5.72860301816658,1.01261051802487e-08,1.19223964462759e-07,1.14645266275032,0.216312561019299,1.01261051802487e-08,1.19223964462759e-07
"Sla",1332.49315275378,1.16681504650214,0.113668373109936,10.2650809066619,1.01236078719723e-24,5.52440880004888e-23,1.14762726462541,0.114666541244195,1.01236078719723e-24,5.52440880004888e-23
"Ngp",419.310224559132,1.4894734002452,0.478009292582431,3.11599256198214,0.001833268964831,0.00726993958217816,1.15043616240572,0.539070292052128,0.001833268964831,0.00726993958217816
"Itgax",347.67483827568,1.2232147760662,0.221545358622411,5.52128369410336,3.36531917035077e-08,3.6506586782258e-07,1.15060286552072,0.230050049903035,3.36531917035077e-08,3.6506586782258e-07
"Gm2a",6530.75443246827,1.16454825377854,0.0900525144379507,12.9318793711302,2.97457690594603e-38,3.66018772024791e-36,1.15233691330239,0.0904116904098043,2.97457690594603e-38,3.66018772024791e-36
"Svip",148.483030508774,1.20919295995566,0.191309165242659,6.32062221599212,2.60512198832638e-10,3.82867518448295e-09,1.15471989317495,0.194477762184175,2.60512198832638e-10,3.82867518448295e-09
"Trp53inp1",411.645947503873,1.18248428536119,0.135745705193775,8.71102539614943,3.01138181186207e-18,1.00788941655149e-16,1.15541123530612,0.136921862046552,3.01138181186207e-18,1.00788941655149e-16
"Bmx",121.846534406372,1.20981236565968,0.190375914600953,6.354860425467,2.08615953602492e-10,3.09862583865666e-09,1.15570245325977,0.193341682005109,2.08615953602492e-10,3.09862583865666e-09
"Aqp9",247.908037421616,1.22025219824703,0.19931518854689,6.12222383624297,9.22782651528747e-10,1.26301472839011e-08,1.15945966056868,0.202854878232576,9.22782651528747e-10,1.26301472839011e-08
"Mmp17",10.666175855765,1.64961048459278,0.580274409645469,2.84281101694739,0.00447175770613644,0.0156163135697603,1.16232166077409,0.681838538365158,0.00447175770613644,0.0156163135697603
"Zfp366",30.9119593126683,1.35811786548689,0.364530367923399,3.72566453989448,0.000194801332199182,0.00102299226796315,1.16296028269158,0.387155687433554,0.000194801332199182,0.00102299226796315
"Il17ra",3694.99519313433,1.19003113158135,0.125041374314285,9.51709894510811,1.78080968568648e-21,7.45031412168367e-20,1.16709599655912,0.126298713197,1.78080968568648e-21,7.45031412168367e-20
"Sowahc",553.285761734513,1.1812403048602,0.0957905066349254,12.3314965789054,6.12975595926912e-35,6.07269477219797e-33,1.16893937086739,0.0961620336436234,6.12975595926912e-35,6.07269477219797e-33
"Elovl7",48.9106050676298,1.28529200236369,0.282438697315358,4.55069370656595,5.34693362645127e-06,3.92911966894554e-05,1.16901106283778,0.292774916054242,5.34693362645127e-06,3.92911966894554e-05
"Fbxl20",714.599732545871,1.19417290000492,0.114392476114608,10.4392608724414,1.64083262483873e-25,9.49036418172855e-24,1.17508559290647,0.115081826053897,1.64083262483873e-25,9.49036418172855e-24
