NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_285	Slc7a8	na	13832	-2.4362456798553467	-0.20046519	Yes	
row_286	Fosb	na	13833	-2.4450812339782715	-0.1914411	Yes	
row_287	Fmnl2	na	13836	-2.4786391258239746	-0.18244028	Yes	
row_288	Itsn1	na	13848	-2.595106601715088	-0.17367156	Yes	
row_289	Spp1	na	13855	-2.6763076782226562	-0.1642354	Yes	
row_290	Ccl3	na	13863	-2.7578861713409424	-0.15457171	Yes	
row_291	Nck2	na	13864	-2.826493263244629	-0.14413995	Yes	
row_292	Plau	na	13867	-2.8433005809783936	-0.13379326	Yes	
row_293	Mertk	na	13868	-2.8637311458587646	-0.12322407	Yes	
row_294	Pf4	na	13876	-3.0226874351501465	-0.11258308	Yes	
row_295	Ccl2	na	13877	-3.049222469329834	-0.10132929	Yes	
row_296	Cd36	na	13882	-3.1685025691986084	-0.08992948	Yes	
row_297	Ccl4	na	13885	-3.1862707138061523	-0.078316994	Yes	
row_298	C1qc	na	13894	-4.021076202392578	-0.064064786	Yes	
row_299	C1qb	na	13895	-4.026955604553223	-0.049202472	Yes	
row_300	Ccl12	na	13896	-4.08991813659668	-0.034107786	Yes	
row_301	C1qa	na	13897	-4.455547332763672	-0.017663665	Yes	
row_302	Mafb	na	13898	-4.785950660705566	-1.2484452E-7	Yes	
